,File,Date,Description,Original value,Currency,Budget 0,Manual bgt
508,Lag USA20 - Losses,2020-03-01,Rent,-1709.58,USD,Rent,
509,Lag USA20 - Losses,2020-03-01,BR trips,-41.300000000000004,USD,Other GO trips,
510,Lag USA20 - Losses,2020-03-01,Metro,-105.0,USD,Metro fee,
511,Lag USA20 - Losses,2020-03-01,Credit card,-99.02,USD,Credit card,
512,Lag USA20 - Losses,2020-03-01,EK Loan termination,-2491.45,USD,EK Loan termination,
513,Lag USA20 - Losses,2020-03-01,Credit card,-192.5,BRL,Credit card,
514,Lag USA20 - Losses,2020-03-01,Supermarket,-64.8,BRL,Supermarket,
515,Lag USA20 - Losses,2020-03-01,Restaurant,-44.68,BRL,Restaurant,
516,Lag USA20 - Losses,2020-03-01,Restaurant,-12.75,BRL,Restaurant,
517,Lag USA20 - Losses,2020-03-01,Restaurant,-28.7,BRL,Restaurant,
518,Lag USA20 - Losses,2020-03-01,BR trips,-39.03,BRL,Other GO trips,
519,Lag USA20 - Losses,2020-03-01,FSP,-29.9,BRL,Folha de SP,
520,Lag USA20 - Losses,2020-03-01,BR trips,-39.03,BRL,Other GO trips,
521,Lag USA20 - Losses,2020-03-01,BR trips,-96.0,BRL,Other GO trips,
522,Lag USA20 - Losses,2020-03-01,Other MN free,-40.36,BRL,Other MN free,
523,Lag USA20 - Losses,2020-03-01,401k ,-465.7726191641965,USD,Other pre-tax deductions,
524,Lag USA20 - Losses,2020-03-01,Health care,-100.83713952865753,USD,Health care fee,
525,Lag USA20 - Losses,2020-03-01,Dental and Vision,-12.97162252403705,USD,Dental fee,
526,Lag USA20 - Losses,2020-03-01,Metro,-78.6385892046126,USD,Metro fee,
527,Lag USA20 - Losses,2020-03-01,HSA,-346.0097925002955,USD,Intra-transter,
528,Lag USA20 - Losses,2020-03-01,Adjustment,178.0,USD,Adjustment,
529,Lag USA20 - Losses,2020-03-01,Other Mid,-65.86,USD,Other mid,
530,Lag USA20 - Losses,2020-03-01,Gifts,-19.31,USD,Other gifts,
531,Lag USA20 - Losses,2020-03-01,Gifts,-32.15,USD,Other gifts,
532,Lag USA20 - Losses,2020-03-01,Other EK free,-23.38,USD,Other EK free,
533,Lag USA20 - Losses,2020-03-01,Supermarket,-14.86,USD,Supermarket,
534,Lag USA20 - Losses,2020-03-01,EK studies,-22.64,USD,EK Concordia,
535,Lag USA20 - Losses,2020-04-01,FX adjustment,-12.71,USD,FX adjustment,
536,Lag USA20 - Losses,2020-04-01,EK clothes,-41.55,USD,EK clothes,
537,Lag USA20 - Losses,2020-04-01,MN clothes,-41.55,USD,MN clothes,
538,Lag USA20 - Losses,2020-04-01,Other mid,-42.99,USD,Other mid,
539,Lag USA20 - Losses,2020-04-01,Other mid,-26.44,USD,Other mid,
540,Lag USA20 - Losses,2020-04-01,Other mid,-16.53,USD,Other mid,
541,Lag USA20 - Losses,2020-04-01,Other mid,-396.88,USD,Other mid,
542,Lag USA20 - Losses,2020-04-01,Restaurant,-320.74999999999994,USD,Restaurant,
543,Lag USA20 - Losses,2020-04-01,Medicine,-73.71,USD,Medicine,
544,Lag USA20 - Losses,2020-04-01,Supermarket,-422.05,USD,Supermarket,
545,Lag USA20 - Losses,2020-04-01,PFC,-14.86,USD,PFC,
546,Lag USA20 - Losses,2020-04-01,Hulu,-59.94,USD,Hulu,
547,Lag USA20 - Losses,2020-04-01,Netflix,-38.14,USD,Netflix,
548,Lag USA20 - Losses,2020-04-01,Electricity,-27.24,USD,Electricity,
549,Lag USA20 - Losses,2020-04-01,Other leisure,-62.1,USD,Other leisure,
550,Lag USA20 - Losses,2020-04-01,Spotify,-5.44,USD,Spotify,
551,Lag USA20 - Losses,2020-04-01,Credit card,-50.0,USD,Credit card,
552,Lag USA20 - Losses,2020-04-01,Booze,-44.57,USD,Booze,
553,Lag USA20 - Losses,2020-04-01,Cellphone,-85.29,USD,Cellphone bill,
554,Lag USA20 - Losses,2020-04-01,Rent,-1709.58,USD,Rent,
